Nome,1º Bimestre,2º Bimestre,3º Bimestre,4º Bimestre
Ana Silva,8.5,9.2,7.8,8.9
Bruno Souza,7.3,6.5,5.9,7.1
Camila Oliveira,9.6,8.7,9.3,9.8
Daniel Santos,6.2,5.7,4.9,6.3
Eduarda Ferreira,8.9,9.5,8.2,9.1
Felipe Lima,7.6,6.8,5.6,7.2
Gabriela Costa,9.2,8.6,9.4,9.7
Henrique Pereira,6.5,5.9,4.7,6.1
Isabella Almeida,8.7,9.3,8.0,8.8
João Silva,7.4,6.6,5.8,7.0
Julia Oliveira,9.0,8.4,9.2,9.6
Lucas Santos,6.3,5.7,4.5,6.0
Maria Ferreira,8.6,9.2,7.9,8.7
Miguel Lima,7.5,6.7,5.5,7.1
Nicole Costa,9.1,8.5,9.3,9.6
Pedro Pereira,6.4,5.8,4.6,6.2
Rafaela Almeida,8.8,9.4,8.1,8.9
Ricardo Silva,7.3,6.5,5.7,7.0
Sofia Oliveira,9.0,8.4,9.1,9.5
Thiago Santos,6.1,5.5,4.3,5.9
Vanessa Ferreira,8.5,9.1,7.8,8.6
Victor Lima,7.2,6.4,5.6,6.9
Yasmin Costa,9.3,8.7,9.5,9.8
Yuri Pereira,6.6,6.0,4.8,6.4
Amanda Silva,8.9,9.5,8.2,9.0
Bruno Souza,7.1,6.3,5.5,6.7
Camila Oliveira,9.4,8.8,9.6,9.9
Daniel Santos,6.0,5.4,4.2,5.8
Eduarda Ferreira,8.7,9.3,8.0,8.8
